# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=1,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,2,0,2,1677,6,0,0,2,0,14
4,4,0,0,0,4,1785,6,0,0,0,1,15
8,4,0,2,0,2,1677,6,0,0,2,2,14
12,4,0,2,0,2,1785,6,0,0,2,3,15
16,4,0,0,2,2,1677,6,0,0,0,4,14
20,4,0,2,0,2,1677,6,0,0,2,5,14
24,4,0,2,0,2,1542,6,0,0,2,6,13
28,4,0,0,0,4,1542,6,0,0,0,7,13
32,4,0,2,0,2,1785,6,0,0,2,8,15
36,4,0,0,0,4,1812,6,0,0,0,9,15
40,4,0,2,0,2,1785,6,0,0,2,10,15
44,4,0,0,0,4,1677,6,0,0,0,11,14
48,4,0,0,2,2,1731,6,0,0,0,12,14
52,4,0,0,2,2,1461,6,0,0,0,13,12
56,4,0,0,2,2,1434,6,0,0,0,14,12
60,4,0,0,2,2,1326,6,0,0,0,15,11
64,4,0,0,2,2,1596,6,0,0,0,16,13
68,4,0,0,2,2,1677,6,0,0,0,17,14
72,4,0,2,0,2,1461,6,0,0,2,18,12
76,4,0,0,0,4,1623,6,0,0,0,19,13
80,4,0,0,2,2,1353,6,0,0,0,20,11
84,4,0,0,0,4,1353,6,0,0,0,21,11
88,4,0,2,0,2,1218,6,0,0,2,22,10
92,4,0,0,2,2,1110,6,0,0,0,23,9
96,4,0,0,2,2,1353,6,0,0,0,24,11
100,4,0,0,2,2,1353,6,0,0,0,25,11
104,4,0,2,0,2,1245,6,0,0,2,26,10
108,4,0,2,0,2,1353,6,0,0,2,27,11
112,4,0,0,0,4,1353,6,0,0,0,28,11
116,4,0,0,2,2,1461,6,0,0,0,29,12
120,4,0,0,0,4,1326,6,0,0,0,30,11
124,4,0,0,2,2,1434,6,0,0,0,31,12
128,4,0,0,2,2,1785,6,0,0,0,32,15
132,4,0,0,0,4,1785,6,0,0,0,33,15
136,4,0,2,0,2,1785,6,0,0,2,34,15
140,4,0,0,0,4,1677,6,0,0,0,35,14
144,4,0,0,2,2,1677,6,0,0,0,36,14
148,4,0,2,0,2,1677,6,0,0,2,37,14
152,4,0,0,0,4,1434,6,0,0,0,38,12
156,4,0,2,0,2,1542,6,0,0,2,39,13
160,4,0,2,0,2,1677,6,0,0,2,40,14
164,4,0,0,2,2,1812,6,0,0,0,41,15
168,4,0,2,0,2,1677,6,0,0,2,42,14
172,4,0,0,0,4,1569,6,0,0,0,43,13
176,4,0,0,2,2,1731,6,0,0,0,44,14
180,4,0,0,2,2,1461,6,0,0,0,45,12
184,4,0,0,0,4,1434,6,0,0,0,46,12
188,4,0,2,0,2,1461,6,0,0,2,47,12
192,4,0,0,2,2,1596,6,0,0,0,48,13
196,4,0,0,0,4,1677,6,0,0,0,49,14
200,4,0,2,0,2,1569,6,0,0,2,50,13
204,4,0,0,2,2,1731,6,0,0,0,51,14
208,4,0,0,2,2,1461,6,0,0,0,52,12
212,4,0,0,2,2,1569,6,0,0,0,53,13
216,4,0,0,0,4,1326,6,0,0,0,54,11
220,4,0,0,2,2,1326,6,0,0,0,55,11
224,4,0,0,2,2,1569,6,0,0,0,56,13
228,4,0,0,0,4,1569,6,0,0,0,57,13
232,4,0,2,0,2,1461,6,0,0,2,58,12
236,4,0,2,0,2,1461,6,0,0,2,59,12
240,4,0,0,2,2,1461,6,0,0,0,60,12
244,4,0,2,0,2,1461,6,0,0,2,61,12
248,4,0,0,0,4,1434,6,0,0,0,62,12
252,4,0,2,0,2,1434,6,0,0,2,63,12
# complete
