# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1250,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=1,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,1,6,8,0,14
20,20,0,16,2,2,1785,6,1,6,10,1,15
40,20,0,16,2,2,1677,6,1,6,10,2,14
60,20,0,16,2,2,1785,6,1,6,10,3,15
80,20,0,14,4,2,1677,6,1,6,8,4,14
100,20,0,14,4,2,1677,6,1,6,8,5,14
120,20,0,16,2,2,1542,6,1,6,10,6,13
140,20,0,16,2,2,1542,6,1,6,10,7,13
160,20,0,14,4,2,1785,6,1,6,8,8,15
180,20,0,14,4,2,1812,6,1,6,8,9,15
200,20,0,16,4,2,1785,6,1,6,10,10,15
222,22,0,14,4,2,1677,6,1,6,8,11,14
242,20,0,14,2,2,1731,6,1,6,8,12,14
260,18,0,16,2,2,1461,6,1,6,10,13,12
280,20,0,12,4,2,1434,6,1,6,6,14,12
298,18,0,14,4,2,1326,6,1,6,8,15,11
318,20,0,12,4,2,1596,6,1,6,6,16,13
336,18,0,14,4,2,1677,6,1,6,8,17,14
356,20,0,16,2,2,1461,6,1,6,10,18,12
376,20,0,12,4,2,1623,6,1,6,6,19,13
394,18,0,14,2,2,1353,6,1,6,8,20,11
412,18,0,12,2,2,1353,6,1,6,6,21,11
428,16,0,16,2,2,1218,6,1,6,10,22,10
448,20,0,14,2,2,1110,6,1,6,8,23,9
466,18,0,14,4,2,1353,6,1,6,8,24,11
486,20,0,16,2,2,1353,6,1,6,10,25,11
506,20,0,16,2,2,1245,6,1,6,10,26,10
526,20,0,14,4,2,1353,6,1,6,8,27,11
546,20,0,14,2,2,1353,6,1,4,10,28,11
564,18,0,14,4,2,1461,6,1,6,8,29,12
584,20,0,16,2,2,1326,6,1,4,12,30,11
604,20,0,16,2,2,1434,6,1,6,10,31,12
624,20,0,14,4,2,1785,6,1,6,8,32,15
644,20,0,14,4,2,1785,6,1,4,10,33,15
664,20,0,16,4,2,1785,6,1,4,12,34,15
686,22,0,16,2,2,1677,6,1,6,10,35,14
706,20,0,14,4,2,1677,6,1,6,8,36,14
726,20,0,16,2,2,1677,6,1,6,10,37,14
746,20,0,16,2,2,1434,6,1,6,10,38,12
766,20,0,14,4,2,1542,6,1,6,8,39,13
786,20,0,14,4,2,1677,6,1,6,8,40,14
806,20,0,14,2,2,1812,6,1,6,8,41,15
824,18,0,16,2,2,1677,6,1,6,10,42,14
844,20,0,16,2,2,1569,6,1,6,10,43,13
864,20,0,14,2,2,1731,6,1,6,8,44,14
882,18,0,16,2,2,1461,6,1,6,10,45,12
902,20,0,14,2,2,1434,6,1,6,8,46,12
920,18,0,14,2,2,1461,6,1,6,8,47,12
938,18,0,14,2,2,1596,6,1,6,8,48,13
956,18,0,14,4,2,1677,6,1,6,8,49,14
976,20,0,16,2,2,1569,6,1,6,10,50,13
996,20,0,14,2,2,1731,6,1,6,8,51,14
1014,18,0,14,2,2,1461,6,1,6,8,52,12
1032,18,0,14,4,2,1569,6,1,6,8,53,13
1052,20,0,16,2,2,1326,6,1,6,10,54,11
1072,20,0,14,4,2,1326,6,1,6,8,55,11
1092,20,0,14,4,2,1569,6,1,6,8,56,13
1112,20,0,14,4,2,1569,6,1,6,8,57,13
1132,20,0,16,2,2,1461,6,1,6,10,58,12
1152,20,0,16,2,2,1461,6,1,6,10,59,12
1172,20,0,14,2,2,1461,6,1,6,8,60,12
1190,18,0,14,4,2,1461,6,1,6,8,61,12
1210,20,0,16,2,2,1434,6,1,6,10,62,12
1230,20,0,14,4,2,1434,6,1,6,8,63,12
# complete
