# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1252,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=1,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,1,6,8,0,14
20,20,0,16,2,2,1785,6,1,6,10,1,15
40,20,0,16,4,2,1677,6,1,6,10,2,14
62,22,0,16,2,2,1785,6,1,6,10,3,15
82,20,0,14,4,2,1677,6,1,6,8,4,14
102,20,0,16,2,2,1677,6,1,6,10,5,14
122,20,0,16,4,2,1542,6,1,6,10,6,13
144,22,0,14,4,2,1542,6,1,6,8,7,13
164,20,0,14,4,2,1785,6,1,6,8,8,15
184,20,0,14,4,2,1812,6,1,6,8,9,15
204,20,0,16,2,2,1785,6,1,6,10,10,15
224,20,0,14,4,2,1677,6,1,6,8,11,14
244,20,0,14,2,2,1731,6,1,6,8,12,14
262,18,0,14,4,2,1461,6,1,6,8,13,12
282,20,0,12,4,2,1434,6,1,6,6,14,12
300,18,0,14,4,2,1326,6,1,4,10,15,11
320,20,0,12,4,2,1596,6,1,6,6,16,13
338,18,0,14,4,2,1677,6,1,6,8,17,14
358,20,0,16,2,2,1461,6,1,6,10,18,12
378,20,0,12,4,2,1623,6,1,6,6,19,13
396,18,0,14,2,2,1353,6,1,6,8,20,11
414,18,0,14,2,2,1353,6,1,6,8,21,11
432,18,0,16,2,2,1218,6,1,6,10,22,10
452,20,0,14,2,2,1110,6,1,6,8,23,9
470,18,0,14,2,2,1353,6,1,6,8,24,11
488,18,0,14,4,2,1353,6,1,6,8,25,11
508,20,0,16,2,2,1245,6,1,6,10,26,10
528,20,0,14,4,2,1353,6,1,6,8,27,11
548,20,0,14,2,2,1353,6,1,6,8,28,11
566,18,0,14,4,2,1461,6,1,6,8,29,12
586,20,0,16,2,2,1326,6,1,6,10,30,11
606,20,0,14,4,2,1434,6,1,4,10,31,12
626,20,0,16,2,2,1785,6,1,6,10,32,15
646,20,0,16,2,2,1785,6,1,4,12,33,15
666,20,0,16,4,2,1785,6,1,6,10,34,15
688,22,0,16,2,2,1677,6,1,6,10,35,14
708,20,0,14,4,2,1677,6,1,6,8,36,14
728,20,0,14,4,2,1677,6,1,6,8,37,14
748,20,0,16,2,2,1434,6,1,6,10,38,12
768,20,0,14,4,2,1542,6,1,6,8,39,13
788,20,0,14,4,2,1677,6,1,6,8,40,14
808,20,0,14,2,2,1812,6,1,6,8,41,15
826,18,0,16,4,2,1677,6,1,6,10,42,14
848,22,0,16,2,2,1569,6,1,6,10,43,13
868,20,0,14,2,2,1731,6,1,6,8,44,14
886,18,0,14,4,2,1461,6,1,6,8,45,12
906,20,0,12,4,2,1434,6,1,6,6,46,12
924,18,0,14,2,2,1461,6,1,6,8,47,12
942,18,0,14,2,2,1596,6,1,6,8,48,13
960,18,0,16,2,2,1677,6,1,6,10,49,14
980,20,0,16,2,2,1569,6,1,6,10,50,13
1000,20,0,14,2,2,1731,6,1,6,8,51,14
1018,18,0,14,2,2,1461,6,1,6,8,52,12
1036,18,0,14,2,2,1569,6,1,6,8,53,13
1054,18,0,16,2,2,1326,6,1,6,10,54,11
1074,20,0,14,4,2,1326,6,1,6,8,55,11
1094,20,0,14,4,2,1569,6,1,6,8,56,13
1114,20,0,14,4,2,1569,6,1,6,8,57,13
1134,20,0,16,2,2,1461,6,1,6,10,58,12
1154,20,0,14,4,2,1461,6,1,6,8,59,12
1174,20,0,14,2,2,1461,6,1,6,8,60,12
1192,18,0,14,4,2,1461,6,1,6,8,61,12
1212,20,0,16,2,2,1434,6,1,6,10,62,12
1232,20,0,16,2,2,1434,6,1,6,10,63,12
# complete
